game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2014030411,16,away,WIN,REG,Joel Quenneville,2,5,21,4,3,0,47.4,11,5
2014030411,14,home,LOSS,REG,Jon Cooper,1,5,29,6,2,0,52.6,12,5
2014030412,16,away,WIN,REG,Joel Quenneville,3,7,28,6,3,1,64.8,8,4
2014030412,14,home,LOSS,REG,Jon Cooper,2,6,33,6,3,1,35.2,11,6
2014030413,14,away,WIN,REG,Jon Cooper,3,8,46,6,2,0,41.8,10,7
2014030413,16,home,LOSS,REG,Joel Quenneville,2,9,27,6,2,1,58.2,14,9
2014030414,14,away,LOSS,REG,Jon Cooper,1,6,46,6,4,0,34.5,5,7
2014030414,16,home,WIN,REG,Joel Quenneville,2,4,34,8,3,0,65.5,16,7
2014030415,16,away,WIN,REG,Joel Quenneville,2,7,15,2,2,0,58.1,9,11
2014030415,14,home,LOSS,REG,Jon Cooper,1,8,37,4,1,0,41.9,13,9
2014030416,14,away,LOSS,REG,Jon Cooper,0,6,56,6,1,0,32.3,10,5
2014030416,16,home,WIN,REG,Joel Quenneville,2,8,32,2,3,0,67.7,10,7
2014030131,5,away,LOSS,REG,Mike Johnston,1,6,32,10,1,0,57.6,7,7
2014030131,3,home,WIN,REG,Alain Vigneault,2,9,32,2,5,1,42.4,11,8
2014030132,5,away,LOSS,REG,Mike Johnston,2,5,21,14,4,2,50,4,6
2014030132,3,home,WIN,REG,Alain Vigneault,3,6,25,8,7,1,50,13,9
2014030133,3,away,WIN,REG,Alain Vigneault,2,6,37,8,2,0,45.9,3,3
2014030133,5,home,LOSS,REG,Mike Johnston,1,6,43,10,2,0,54.1,8,3
2014030134,3,away,WIN,OT,Alain Vigneault,2,6,42,6,3,0,42.9,1,4
2014030134,5,home,LOSS,OT,Mike Johnston,1,5,28,6,3,0,57.1,6,2
2014030135,5,away,LOSS,OT,Mike Johnston,1,9,28,6,3,0,52.9,10,4
2014030135,3,home,WIN,OT,Alain Vigneault,2,9,36,6,3,1,47.1,19,13
2014030311,14,away,LOSS,REG,Jon Cooper,1,6,18,4,4,1,56.6,6,4
2014030311,3,home,WIN,REG,Alain Vigneault,2,7,30,8,2,0,43.4,8,10
2014030312,14,away,WIN,REG,Jon Cooper,4,6,26,12,6,3,45.6,10,5
2014030312,3,home,LOSS,REG,Alain Vigneault,2,9,28,22,5,2,54.4,14,8
2014030313,3,away,LOSS,OT,Alain Vigneault,3,7,33,6,4,2,45.8,10,6
2014030313,14,home,WIN,OT,Jon Cooper,4,10,41,10,2,1,54.2,11,8
2014030314,3,away,WIN,REG,Alain Vigneault,3,6,30,26,4,2,43.6,12,6
2014030314,14,home,LOSS,REG,Jon Cooper,1,9,32,36,4,0,56.4,11,10
2014030315,14,away,WIN,REG,Jon Cooper,2,5,29,10,3,1,61.5,7,7
2014030315,3,home,LOSS,REG,Alain Vigneault,0,6,29,8,4,0,38.5,6,6
2014030316,3,away,WIN,REG,Alain Vigneault,5,8,27,8,3,1,53,8,9
2014030316,14,home,LOSS,REG,Jon Cooper,3,9,22,8,3,1,47,11,7
2014030317,14,away,WIN,REG,Jon Cooper,2,6,25,4,0,0,37.5,5,9
2014030317,3,home,LOSS,REG,Alain Vigneault,0,5,29,0,2,0,62.5,15,5
2014030231,30,away,WIN,REG,Mike Yeo,3,8,36,2,3,1,44.1,12,7
2014030231,16,home,LOSS,REG,Joel Quenneville,2,8,34,6,1,0,55.9,12,8
2014030232,30,away,LOSS,REG,Mike Yeo,1,7,42,4,2,1,47.5,10,6
2014030232,16,home,WIN,REG,Joel Quenneville,2,7,39,4,2,0,52.5,10,6
2014030233,16,away,WIN,REG,Joel Quenneville,1,5,11,6,1,1,62.7,5,6
2014030233,30,home,LOSS,REG,Mike Yeo,0,7,20,2,3,0,37.3,7,10
2014030234,16,away,LOSS,REG,Joel Quenneville,2,6,6,6,2,1,50,0,12
2014030234,30,home,WIN,REG,Mike Yeo,3,9,24,4,3,1,50,9,2
2014030221,15,away,WIN,REG,Barry Trotz,2,7,32,6,2,1,44.3,13,3
2014030221,3,home,LOSS,REG,Alain Vigneault,1,8,34,6,2,0,55.7,20,7
2014030222,15,away,LOSS,REG,Barry Trotz,2,8,38,8,1,0,53.4,12,5
2014030222,3,home,WIN,REG,Alain Vigneault,3,8,30,2,4,1,46.6,13,7
2014030223,3,away,LOSS,REG,Alain Vigneault,0,7,31,4,2,0,31,15,7
2014030223,15,home,WIN,REG,Barry Trotz,1,5,39,4,2,0,69,15,9
2014030224,3,away,LOSS,REG,Alain Vigneault,1,7,31,13,1,0,43.3,10,11
2014030224,15,home,WIN,REG,Barry Trotz,2,7,37,23,1,0,56.7,14,7
2014030225,15,away,LOSS,OT,Barry Trotz,1,7,24,4,2,0,52.3,5,10
2014030225,3,home,WIN,OT,Alain Vigneault,2,10,32,4,2,0,47.7,18,10
2014030226,3,away,LOSS,REG,Alain Vigneault,2,7,30,8,3,1,45.9,14,4
2014030226,15,home,WIN,REG,Barry Trotz,3,11,36,6,4,0,54.1,14,6
2014030227,15,away,LOSS,OT,Barry Trotz,1,9,26,8,3,0,59.5,9,1
2014030227,3,home,WIN,OT,Alain Vigneault,2,9,32,6,4,1,40.5,12,9
2014030211,14,away,WIN,OT,Jon Cooper,2,8,32,6,4,0,38.2,10,5
2014030211,8,home,LOSS,OT,Michel Therrien,1,11,43,8,3,0,61.8,25,12
2014030212,14,away,WIN,REG,Jon Cooper,4,6,21,13,8,4,45,12,1
2014030212,8,home,LOSS,REG,Michel Therrien,2,7,28,53,3,0,55,9,10
2014030213,8,away,LOSS,REG,Michel Therrien,1,7,24,6,2,0,51.7,9,6
2014030213,14,home,WIN,REG,Jon Cooper,2,4,28,4,3,0,48.3,14,4
2014030214,8,away,WIN,REG,Michel Therrien,4,10,29,8,3,1,51.5,3,5
2014030214,14,home,LOSS,REG,Jon Cooper,2,6,30,8,3,2,48.5,10,3
2014030215,14,away,LOSS,REG,Jon Cooper,1,6,44,22,0,0,47.4,15,4
2014030215,8,home,WIN,REG,Michel Therrien,2,7,30,18,3,0,52.6,14,5
2014030216,8,away,LOSS,REG,Michel Therrien,1,4,22,4,2,0,41.9,14,2
2014030216,14,home,WIN,REG,Jon Cooper,2,7,33,4,2,1,58.1,14,7
2014030141,2,away,WIN,REG,Jack Capuano,2,6,36,4,2,0,37.1,5,9
2014030141,15,home,LOSS,REG,Barry Trotz,1,6,46,6,2,0,62.9,11,8
2014030142,2,away,WIN,REG,Jack Capuano,3,5,38,2,1,0,49.1,14,4
2014030142,15,home,LOSS,REG,Barry Trotz,2,8,59,2,1,1,50.9,10,2
2014030143,15,away,LOSS,OT,Barry Trotz,1,6,43,6,3,0,50.8,10,5
2014030143,2,home,WIN,OT,Jack Capuano,2,10,44,6,3,0,49.2,6,11
2014030144,15,away,WIN,OT,Barry Trotz,2,7,38,8,1,0,50.8,13,12
2014030144,2,home,LOSS,OT,Jack Capuano,1,9,50,2,4,0,49.2,22,20
2014030145,2,away,LOSS,REG,Jack Capuano,1,5,49,31,2,0,36.7,9,5
2014030145,15,home,WIN,REG,Barry Trotz,3,10,49,9,3,0,63.3,8,11
2014030146,15,away,LOSS,REG,Barry Trotz,1,9,32,14,3,1,54.8,12,14
2014030146,2,home,WIN,REG,Jack Capuano,3,9,46,38,1,0,45.2,14,23
2014030147,2,away,LOSS,REG,Jack Capuano,1,2,54,0,1,0,39.6,11,4
2014030147,15,home,WIN,REG,Barry Trotz,2,6,46,2,0,0,60.4,9,9
2014030171,52,away,TIE,REG,Paul Maurice,2,6,37,8,3,0,37.5,13,7
2014030171,24,home,TIE,REG,Bruce Boudreau,2,8,46,6,3,2,62.5,9,5
2014030172,52,away,LOSS,REG,Paul Maurice,1,7,33,10,4,0,47.5,12,4
2014030172,24,home,WIN,REG,Bruce Boudreau,2,9,48,8,4,1,52.5,9,1
2014030173,24,away,WIN,OT,Bruce Boudreau,3,7,44,8,3,0,48.8,13,5
2014030173,52,home,LOSS,OT,Paul Maurice,2,8,61,8,3,1,51.2,11,4
2014030174,24,away,WIN,REG,Bruce Boudreau,3,8,35,6,1,0,53.5,6,3
2014030174,52,home,LOSS,REG,Paul Maurice,2,6,45,2,3,1,46.5,10,7
2014020793,26,away,LOSS,REG,Darryl Sutter,2,11,39,7,1,0,39,1,2
2014020793,29,home,WIN,REG,Todd Richards,3,6,34,7,1,0,61,4,1
2014020700,14,away,TIE,REG,Jon Cooper,2,7,23,6,3,0,55.9,8,11
2014020700,12,home,TIE,REG,Bill Peters,2,5,14,6,3,1,44.1,5,11
2014020201,53,away,TIE,SO,Dave Tippett,2,6,40,8,3,0,54,18,5
2014020201,24,home,TIE,SO,Bruce Boudreau,2,9,42,6,4,1,46,14,7
2014021092,19,away,WIN,OT,Ken Hitchcock,3,8,34,13,0,0,56.7,2,5
2014021092,5,home,LOSS,OT,Mike Johnston,2,6,39,7,3,0,43.3,5,5
2014020693,29,away,LOSS,REG,Todd Richards,0,7,29,8,4,0,42.9,6,2
2014020693,52,home,WIN,REG,Paul Maurice,2,7,24,8,3,0,57.1,9,9
2014020548,12,away,LOSS,REG,Bill Peters,1,6,28,8,3,0,53.2,1,11
2014020548,5,home,WIN,REG,Mike Johnston,2,9,27,8,3,0,46.8,8,7
2014020434,24,away,TIE,REG,Bruce Boudreau,2,5,23,8,2,1,50.7,9,9
2014020434,22,home,TIE,REG,Dallas Eakins,2,5,28,4,4,1,49.3,21,6
2014020205,30,away,LOSS,REG,Mike Yeo,1,7,22,6,2,0,41.3,7,2
2014020205,8,home,WIN,REG,Michel Therrien,2,7,11,8,1,0,58.7,13,4
2014020133,28,away,TIE,SO,Todd McLellan,2,12,11,10,4,0,56.8,1,11
2014020133,21,home,TIE,SO,Patrick Roy,2,8,26,12,3,0,43.2,6,20
2014020016,52,away,WIN,REG,Paul Maurice,4,6,13,17,5,0,40,6,4
2014020016,53,home,LOSS,REG,Dave Tippett,2,7,23,21,3,0,60,9,7
2014021055,6,away,LOSS,REG,Claude Julien,2,8,29,6,3,1,48.2,11,4
2014021055,9,home,WIN,REG,Dave Cameron,4,8,24,6,3,0,51.8,14,14
2014020411,4,away,LOSS,OT,Craig Berube,2,5,29,8,4,1,50,5,9
2014020411,29,home,WIN,OT,Todd Richards,3,6,43,8,4,2,50,10,6
2014020889,14,away,LOSS,REG,Jon Cooper,2,8,21,12,3,0,36.9,3,3
2014020889,21,home,WIN,REG,Patrick Roy,3,4,20,16,1,0,63.1,6,15
2014020211,28,away,TIE,REG,Todd McLellan,3,7,14,14,2,1,45.6,11,10
2014020211,25,home,TIE,REG,Lindy Ruff,3,10,23,18,5,1,54.4,13,7
2014020208,14,away,WIN,REG,Jon Cooper,5,9,24,12,3,2,41.5,2,5
2014020208,29,home,LOSS,REG,Todd Richards,2,8,37,8,5,3,58.5,2,3
2014020394,29,away,WIN,REG,Todd Richards,3,5,28,10,4,1,48.1,4,11
2014020394,14,home,LOSS,REG,Jon Cooper,1,8,16,14,2,0,51.9,10,8
2014020010,13,away,LOSS,OT,Gerard Gallant,2,5,21,20,2,0,46.3,5,10
2014020010,14,home,WIN,OT,Jon Cooper,3,8,28,10,7,3,53.7,8,9
2014020307,53,away,TIE,SO,Dave Tippett,3,6,19,8,2,1,39,22,12
2014020307,28,home,TIE,SO,Todd McLellan,3,10,27,4,4,1,61,25,19
2014020903,13,away,TIE,SO,Gerard Gallant,2,9,34,10,3,0,60.3,1,4
2014020903,16,home,TIE,SO,Joel Quenneville,2,9,18,10,3,1,39.7,4,8
2014020526,28,away,LOSS,REG,Todd McLellan,1,5,24,8,2,0,53.7,6,2
2014020526,26,home,WIN,REG,Darryl Sutter,3,7,36,4,4,2,46.3,17,4
